Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Sarbunan, Thobias; ",The Critical Review to Practical Inquiries of Action Research Framework  (Action Research Paradigms),SSRN,1,1,1-13,2020,SSRN https://papers.ssrn.com/abstract=3694216
"Sarbunan, Thobias; ",Foreign Language Deadly Boulevard: The Tentative Hypothesis of Novel Corona Virus Policy Manifestation to the English as a Foreign Language,SSRN http://papers.ssrn.com/abstract=3694213,1,2,1-17,2020,Elsevier BV http://doi.org/10.2139/ssrn.3694213
"Sarbunan, Thobias; ",The Viral of Anjay Word: Indonesia Slang (Literature Study of Slang),OSF,5,1,15,2020,https://osf.io/preprints/lissa/j2ac3/
"Sarbuan, Thobias; ",Survey & Case Study: Indonesian Needs Changing (New Era of Educational Research in the Mid of Pandemic),SSRN https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3710787,,,11,2020,Elsevier BV http://doi.org/10.2139/ssrn.3710787
"Sarbunan, Thobias; ",Digital Learning is Obligatory: Factual Tragedy of Absurd Unpreparedness (Invoice of Pandemic Learning),https://ssrn.com/abstract=3713917,,http://doi.org/10.2139/ssrn.3713917,,2020,
"Sarbunan, Thobias; ",Teman-Teman Pendidik Ditampar oleh Gosip: Penggosip Oknum Mahasiswa (Entah Apa yang Merasukimu),EdArXiv,,Behavior/Educational Psychology,7,2020,EdArXiv https://doi.org/10.35542/osf.io/z6jeq https://search.crossref.org …
"Sarbunan, Thobias; ",He Suicides because Stress of the Pandemic Education: I Am so Sorry to Hear that (Indonesia Senior High School Learner of Gowa Region),SSRN,3733143,https://ssrn.com/abstract=3733143,14,2020,Elsevier BV https://dx.doi.org/10.2139/ssrn.3733143
"Sarbunan, Thobias; ",Dear President Macron; an Ordinary People Get  Anger to You (But I know you are Not Meant to Be),JSSS,1,5,253-259,2020,https://doi.org/10.46799/jsss.v1i5.66
"Sarbunan, Thobias; ",The Science of Learning: Only Tried to Refresh (Fight the Panic-Pedagogic in Midst of COVID-19 Satan),"https://dx.doi.org/10.2139/ssrn.3739220 https://europepmc.org/orcid/searchOrcid?query=AUTH:""Sarbunan+T""&page=1&orcid=/0000-0001-8236-370X",,https://papers.ssrn.com/abstract=3739220,,2020,
"Sarbuan, Thobias; ",The Urgency of Digital versus Conventional Community Services; Indonesia as Development Country (The Mid of Pandemic and Sustainable Development),DLC,2209,Working Paper Community Service no: 1,9,2020,Indiana University DLC http://hdl.handle.net/10535/10753
"Sarbunan, Thobias; ",Constructive and Destructive Leadership of Education Institution: How Come (Pandemic Education could be reflected from the Discussion),SSRN,,,16,2020,SSRN https://dx.doi.org/10.2139/ssrn.3756631
"Sarbunan, Thobias; ",Some of Frontiers Education Articles: Around First to Eleven December 2020,SSRN,,,1-44,2020,SSRN https://dx.doi.org/10.2139/ssrn.3756716
"Sarbunan, Thobias; ",Some of Frontiers Education Articles: Around First to Eleven December,,,,,,
"Sarbunan, Thobias; ",DEMOTIVATION OF SECOND SEMESTER ART AND RELIGION FACULTY STUDENTS IN LEARNING ENGLISH LANGUAGE (IAKN AMBON),"IMEDTECH (INSTRUCTIONAL MEDIA, DESIGN AND TECHNOLOGY)",4,2,1-9,2020,"IMEDTECH (INSTRUCTIONAL MEDIA, DESIGN AND TECHNOLOGY)"
